"AUDUSD=X"
"EURUSD=X"
"GBPUSD=X"
"USDCAD=X"
"^DJI"
"^FTSE"
"^GSPC"
"^IXIC"
"^NSEI"
"ADA-USD"
"BAT-USD"
"BNB-USD"
"BTC-USD"
"DASH-USD"
"EOS-USD"
"ETC-USD"
"ETH-USD"
"LINK-USD"
"LTC-USD"
"XLM-USD"
"XRP-USD"
"ZEC-USD"
"ZRX-USD"
