<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDJPY,20010103,00:00:00,114.4300,113.5400,114.6400,113.6500
USDJPY,20010104,00:00:00,113.6600,113.6600,115.7500,115.5900
USDJPY,20010105,00:00:00,115.6000,115.5700,116.8600,116.5400
USDJPY,20010108,00:00:00,116.5400,115.6500,116.6100,116.1900
USDJPY,20010109,00:00:00,116.1900,115.6100,116.8800,116.8200
USDJPY,20010110,00:00:00,116.8200,115.8100,117.1200,116.3400
USDJPY,20010111,00:00:00,116.3400,116.3200,117.8400,117.8400
USDJPY,20010112,00:00:00,117.8400,117.3900,118.4600,118.4600
USDJPY,20010115,00:00:00,118.3600,118.3600,119.3600,118.9500
USDJPY,20010116,00:00:00,118.9500,117.1100,119.1200,117.8100
USDJPY,20010117,00:00:00,117.8100,116.9000,118.9400,118.9000
USDJPY,20010118,00:00:00,118.9100,117.6300,119.8400,118.0800
USDJPY,20010119,00:00:00,118.0800,116.9900,118.2400,117.1900
USDJPY,20010122,00:00:00,117.0500,116.1400,117.0500,116.5200
USDJPY,20010123,00:00:00,116.5200,116.4200,117.3700,116.6700
USDJPY,20010124,00:00:00,116.6700,116.5200,118.4400,117.8600
USDJPY,20010125,00:00:00,117.8600,116.3800,118.1100,116.7900
USDJPY,20010126,00:00:00,116.7900,116.3100,117.5400,117.3100
USDJPY,20010129,00:00:00,117.4400,116.1400,117.7200,116.7000
USDJPY,20010130,00:00:00,116.7000,115.6100,116.9100,115.8100
USDJPY,20010131,00:00:00,115.8000,115.6200,116.6500,116.5000
USDJPY,20010201,00:00:00,116.5000,115.2400,116.7000,115.6100
USDJPY,20010202,00:00:00,115.6100,114.9500,115.8600,115.6400
USDJPY,20010205,00:00:00,115.6500,114.6100,116.0300,114.7200
USDJPY,20010206,00:00:00,114.7200,114.3300,115.2500,114.7800
USDJPY,20010207,00:00:00,114.7800,114.6500,116.3400,116.2300
USDJPY,20010208,00:00:00,116.2400,115.8400,116.7400,116.7300
USDJPY,20010209,00:00:00,116.7300,116.3300,117.7500,117.4800
USDJPY,20010212,00:00:00,117.6100,117.3400,117.9200,117.3900
USDJPY,20010213,00:00:00,117.4000,116.5600,117.5800,116.8400
USDJPY,20010214,00:00:00,116.8400,116.0400,116.8700,116.2100
USDJPY,20010215,00:00:00,116.2200,115.3500,116.3700,115.5100
USDJPY,20010216,00:00:00,115.5100,114.5300,115.8900,115.6400
USDJPY,20010219,00:00:00,115.9800,115.6100,116.1700,116.0300
USDJPY,20010220,00:00:00,116.0300,115.2000,116.1900,115.6900
USDJPY,20010221,00:00:00,115.6900,115.3400,116.8300,116.4700
USDJPY,20010222,00:00:00,116.4500,115.8400,117.1000,116.9000
USDJPY,20010223,00:00:00,116.9000,115.6200,117.1400,115.8900
USDJPY,20010226,00:00:00,115.8500,115.7800,116.7400,116.4300
USDJPY,20010227,00:00:00,116.4200,115.9200,116.5600,116.1900
USDJPY,20010228,00:00:00,116.1900,115.8600,117.5100,117.3300
USDJPY,20010301,00:00:00,117.3200,116.9900,117.5400,117.3600
USDJPY,20010302,00:00:00,117.3600,117.2900,119.2800,119.0000
USDJPY,20010305,00:00:00,119.1400,118.6200,119.7300,119.1800
USDJPY,20010306,00:00:00,119.1800,118.2500,119.2000,118.6900
USDJPY,20010307,00:00:00,118.6900,118.5700,120.1800,119.7800
USDJPY,20010308,00:00:00,119.7800,119.2900,120.3600,119.7400
USDJPY,20010309,00:00:00,119.7400,119.0600,119.8300,119.5100
USDJPY,20010312,00:00:00,119.5800,119.4500,120.6700,120.5000
USDJPY,20010313,00:00:00,120.5000,119.6100,120.5600,119.7100
USDJPY,20010314,00:00:00,119.7200,119.2900,121.1700,120.9500
USDJPY,20010315,00:00:00,120.9500,120.4900,122.5000,122.0900
USDJPY,20010316,00:00:00,122.0900,121.8600,123.1500,122.9200
USDJPY,20010319,00:00:00,122.9700,122.0000,123.5900,122.8400
USDJPY,20010320,00:00:00,122.8400,122.0600,122.9700,122.1100
USDJPY,20010321,00:00:00,122.1100,121.9700,123.8900,123.4400
USDJPY,20010322,00:00:00,123.4300,123.0200,124.2700,123.7000
USDJPY,20010323,00:00:00,123.7000,122.4900,123.7500,122.7900
USDJPY,20010326,00:00:00,122.6400,122.6100,123.7600,122.6200
USDJPY,20010327,00:00:00,122.6200,121.6700,123.3000,122.1800
USDJPY,20010328,00:00:00,122.1800,121.3900,122.7000,122.2800
USDJPY,20010329,00:00:00,122.2800,122.1200,123.7500,123.7200
USDJPY,20010330,00:00:00,123.7100,123.2100,126.1400,126.1200
USDJPY,20010402,00:00:00,126.3600,125.6600,126.8100,126.6200
USDJPY,20010403,00:00:00,126.6200,125.2000,126.7500,125.4800
USDJPY,20010404,00:00:00,125.4800,124.8200,126.2300,125.2800
