<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDJPY,20010405,00:00:00,125.2800,123.5000,125.4900,124.0100
USDJPY,20010406,00:00:00,124.0100,123.7900,125.4800,123.8300
USDJPY,20010409,00:00:00,124.0600,123.9300,125.4400,125.1400
USDJPY,20010410,00:00:00,125.1400,124.2200,125.3500,124.4900
USDJPY,20010411,00:00:00,124.4900,123.8600,124.9300,124.7500
USDJPY,20010412,00:00:00,124.7500,122.9600,124.9300,123.6300
USDJPY,20010413,00:00:00,123.6300,123.6300,123.6300,123.6300
USDJPY,20010416,00:00:00,124.1600,124.1400,124.9100,124.3300
USDJPY,20010417,00:00:00,124.3300,123.0700,124.6800,123.2800
USDJPY,20010418,00:00:00,123.2800,122.0300,123.5800,122.0800
USDJPY,20010419,00:00:00,122.0800,120.8900,122.3100,121.0600
USDJPY,20010420,00:00:00,121.0600,121.0600,122.6700,122.4400
USDJPY,20010423,00:00:00,121.8900,121.1300,122.4900,121.2200
USDJPY,20010424,00:00:00,121.2100,121.1200,122.3200,122.2500
USDJPY,20010425,00:00:00,122.2500,121.9400,122.6400,122.1000
USDJPY,20010426,00:00:00,122.1000,121.8300,123.5300,123.1900
USDJPY,20010427,00:00:00,123.1900,123.1600,124.2900,123.9800
USDJPY,20010430,00:00:00,124.0300,123.2700,124.1800,123.5900
USDJPY,20010501,00:00:00,123.6200,121.8600,123.6200,122.0700
USDJPY,20010502,00:00:00,122.0600,121.3000,122.5000,121.4400
USDJPY,20010503,00:00:00,121.4400,120.7200,121.8100,121.3100
USDJPY,20010504,00:00:00,121.3100,120.5900,121.4700,121.2300
USDJPY,20010507,00:00:00,121.2800,120.9500,121.7800,121.0900
USDJPY,20010508,00:00:00,121.0900,120.8200,122.1000,121.2800
USDJPY,20010509,00:00:00,121.2800,121.2200,122.4000,122.2800
USDJPY,20010510,00:00:00,122.2800,122.0100,122.7100,122.5300
USDJPY,20010511,00:00:00,122.5300,121.8300,122.8100,122.5000
USDJPY,20010514,00:00:00,122.4700,122.4100,123.3500,123.2900
USDJPY,20010515,00:00:00,123.2900,123.0700,123.6400,123.2900
USDJPY,20010516,00:00:00,123.2900,123.0800,124.0000,123.3800
USDJPY,20010517,00:00:00,123.3700,122.4200,123.4200,122.5800
USDJPY,20010518,00:00:00,122.5800,122.5400,123.7600,123.5600
USDJPY,20010521,00:00:00,123.6500,122.5300,123.7300,122.6500
USDJPY,20010522,00:00:00,122.6400,122.4200,123.2800,122.8100
USDJPY,20010523,00:00:00,122.8100,119.3400,122.8200,120.0000
USDJPY,20010524,00:00:00,120.0000,120.0000,120.0200,120.0200
USDJPY,20010525,00:00:00,119.8200,119.8200,120.7500,120.6100
USDJPY,20010528,00:00:00,120.4600,120.4500,121.1600,121.0700
USDJPY,20010529,00:00:00,121.0700,119.9700,121.3500,120.1100
USDJPY,20010530,00:00:00,120.1200,119.9400,120.5700,120.3500
USDJPY,20010531,00:00:00,120.3500,118.5000,120.5000,119.2700
USDJPY,20010601,00:00:00,119.2800,118.3000,119.2900,119.1700
USDJPY,20010604,00:00:00,119.1400,118.8500,119.8300,119.2300
USDJPY,20010605,00:00:00,119.2300,118.7100,120.3900,120.2200
USDJPY,20010606,00:00:00,120.2200,120.0300,120.8100,120.0900
USDJPY,20010607,00:00:00,120.0900,119.6000,120.2800,120.1400
USDJPY,20010608,00:00:00,120.1400,120.0500,120.9700,120.9000
USDJPY,20010611,00:00:00,120.8700,120.8300,122.0300,121.9100
USDJPY,20010612,00:00:00,121.9100,121.5600,122.0400,121.6600
USDJPY,20010613,00:00:00,121.6600,121.5400,122.3900,122.0600
USDJPY,20010614,00:00:00,122.0600,121.2000,122.2300,121.3000
USDJPY,20010615,00:00:00,121.2900,120.8400,123.2200,123.0800
USDJPY,20010618,00:00:00,122.9400,122.7500,123.4900,123.2400
USDJPY,20010619,00:00:00,123.2300,122.6700,123.7000,122.8800
USDJPY,20010620,00:00:00,122.8700,122.5500,124.0100,123.9200
USDJPY,20010621,00:00:00,123.9200,123.6400,124.6500,124.5800
USDJPY,20010622,00:00:00,124.5800,123.8400,124.6700,124.4300
USDJPY,20010625,00:00:00,124.2700,123.7200,124.4500,123.7900
USDJPY,20010626,00:00:00,123.7800,123.2800,123.9800,123.7300
USDJPY,20010627,00:00:00,123.7300,123.7200,124.4100,124.2200
USDJPY,20010628,00:00:00,124.2200,124.1700,124.9600,124.7800
USDJPY,20010629,00:00:00,124.7800,123.7500,124.8400,124.7200
USDJPY,20010702,00:00:00,124.7200,124.0900,124.9500,124.1200
USDJPY,20010703,00:00:00,124.1200,123.6400,124.5600,124.3500
USDJPY,20010704,00:00:00,124.3500,124.2500,125.0000,124.4200
USDJPY,20010705,00:00:00,124.4400,124.3900,125.7600,125.6700
USDJPY,20010706,00:00:00,125.6500,125.4500,126.1100,125.9500
USDJPY,20010709,00:00:00,125.7600,125.2200,125.9500,125.3300
USDJPY,20010710,00:00:00,125.3300,125.2100,125.8400,125.3100
USDJPY,20010711,00:00:00,125.3100,123.8600,125.7100,124.3600
USDJPY,20010712,00:00:00,124.3500,123.4800,124.4700,123.8300
USDJPY,20010713,00:00:00,123.8300,123.8300,124.9900,124.8900
USDJPY,20010716,00:00:00,124.7300,124.7100,125.5200,125.4500
USDJPY,20010717,00:00:00,125.4500,124.7200,125.6200,124.8400
USDJPY,20010718,00:00:00,124.8400,123.7600,125.4100,123.9200
USDJPY,20010719,00:00:00,123.9200,123.2200,124.1300,123.3900
USDJPY,20010720,00:00:00,123.4000,122.6900,123.7300,122.8800
USDJPY,20010723,00:00:00,123.0400,123.0400,124.4500,124.3700
USDJPY,20010724,00:00:00,124.3700,123.8300,124.4400,124.1300
USDJPY,20010725,00:00:00,124.1300,123.4200,124.4200,123.5800
USDJPY,20010726,00:00:00,123.5800,123.1600,124.0400,123.7000
USDJPY,20010727,00:00:00,123.7100,123.2000,124.1100,123.4400
USDJPY,20010730,00:00:00,123.2500,123.2200,125.3400,125.1200
USDJPY,20010731,00:00:00,125.1200,124.6500,125.2200,124.9900
USDJPY,20010801,00:00:00,124.9900,124.4400,125.1700,124.5100
USDJPY,20010802,00:00:00,124.5200,123.5800,124.6500,123.6500
USDJPY,20010803,00:00:00,123.6500,123.3100,123.9700,123.6400
USDJPY,20010806,00:00:00,123.6700,123.5900,124.2300,123.8700
USDJPY,20010807,00:00:00,123.8600,123.4200,124.1200,123.5600
USDJPY,20010808,00:00:00,123.5700,122.7900,123.6600,123.6300
USDJPY,20010809,00:00:00,123.6300,121.3900,123.9300,121.9200
USDJPY,20010810,00:00:00,121.9200,121.7200,122.5800,121.8900
USDJPY,20010813,00:00:00,121.9300,121.3900,122.5000,122.4900
USDJPY,20010814,00:00:00,122.4900,121.1900,123.1400,121.7800
USDJPY,20010815,00:00:00,121.8300,119.0600,121.9000,119.5300
USDJPY,20010816,00:00:00,119.5300,119.2800,120.4100,120.2900
USDJPY,20010817,00:00:00,120.3000,120.0600,120.7700,120.1500
USDJPY,20010820,00:00:00,120.2800,120.0800,120.8400,120.6900
USDJPY,20010821,00:00:00,120.6900,119.4800,120.8900,119.6700
USDJPY,20010822,00:00:00,119.6700,119.3400,120.5300,120.4200
USDJPY,20010823,00:00:00,120.4200,119.6500,120.6400,119.8700
USDJPY,20010824,00:00:00,119.8700,119.5300,120.3300,120.0300
USDJPY,20010827,00:00:00,120.1400,119.7800,120.4700,119.8000
USDJPY,20010828,00:00:00,119.8000,119.7100,120.7800,119.9800
USDJPY,20010829,00:00:00,119.9900,119.0600,120.2800,120.1000
USDJPY,20010830,00:00:00,120.1000,119.2100,120.2000,119.4400
USDJPY,20010831,00:00:00,119.4400,118.4500,119.4800,118.7100
USDJPY,20010903,00:00:00,119.0600,118.5800,119.2200,118.7200
USDJPY,20010904,00:00:00,118.7200,118.6000,119.6500,119.3400
USDJPY,20010905,00:00:00,119.3400,119.3200,120.8600,120.6500
USDJPY,20010906,00:00:00,120.6500,120.6300,121.5000,120.8400
USDJPY,20010907,00:00:00,120.8400,119.7600,121.4000,120.1300
USDJPY,20010910,00:00:00,120.1100,119.8000,121.1100,120.9400
USDJPY,20010911,00:00:00,120.9400,118.5800,122.0200,119.7800
USDJPY,20010912,00:00:00,119.7800,118.7000,119.8500,119.4700
USDJPY,20010913,00:00:00,119.4700,118.6100,119.7000,118.8100
USDJPY,20010914,00:00:00,118.8100,116.8900,119.1100,117.2500
USDJPY,20010917,00:00:00,117.5300,116.6700,118.2600,117.7300
USDJPY,20010918,00:00:00,117.7400,117.0800,118.1600,117.3300
USDJPY,20010919,00:00:00,117.3300,117.0900,118.0900,117.6100
USDJPY,20010920,00:00:00,117.6100,115.7600,117.6300,116.3200
USDJPY,20010921,00:00:00,116.3300,116.0100,117.4500,116.6500
USDJPY,20010924,00:00:00,116.8600,116.2800,117.6100,117.4800
USDJPY,20010925,00:00:00,117.4900,116.9800,117.7600,117.5400
USDJPY,20010926,00:00:00,117.5200,117.0900,118.0400,117.7400
USDJPY,20010927,00:00:00,117.7400,117.6900,120.0000,119.6600
USDJPY,20010928,00:00:00,119.6600,118.6900,119.7500,119.5000
USDJPY,20011001,00:00:00,119.4300,119.3300,120.4200,120.1900
USDJPY,20011002,00:00:00,120.2000,120.1100,121.1100,120.6700
USDJPY,20011003,00:00:00,120.6600,120.4400,121.4500,120.6000
USDJPY,20011004,00:00:00,120.6000,120.1900,120.7900,120.4500
USDJPY,20011005,00:00:00,120.4400,119.9400,120.6300,120.4600
USDJPY,20011008,00:00:00,120.2800,119.6300,120.2800,119.7500
USDJPY,20011009,00:00:00,119.7400,119.7400,120.3100,120.1400
USDJPY,20011010,00:00:00,120.1500,119.8600,120.5600,120.3300
USDJPY,20011011,00:00:00,120.3300,120.1400,121.6600,121.3900
USDJPY,20011012,00:00:00,121.3900,120.7000,121.7200,121.2600
USDJPY,20011015,00:00:00,120.8800,120.4400,121.1200,120.8100
USDJPY,20011016,00:00:00,120.8100,120.6200,121.8600,121.2600
USDJPY,20011017,00:00:00,121.2600,120.7800,121.7700,121.1900
USDJPY,20011018,00:00:00,121.1900,120.7900,121.4500,121.0700
USDJPY,20011019,00:00:00,121.0700,120.8100,121.3100,121.1600
USDJPY,20011022,00:00:00,121.1500,121.1400,122.5500,122.4000
USDJPY,20011023,00:00:00,122.4000,122.2800,123.0000,122.6300
USDJPY,20011024,00:00:00,122.6400,122.3500,122.9400,122.7500
USDJPY,20011025,00:00:00,122.7400,122.4500,123.3300,122.8900
USDJPY,20011026,00:00:00,122.8900,122.4200,123.2100,122.7000
USDJPY,20011029,00:00:00,122.6900,121.8300,122.7400,121.9400
USDJPY,20011030,00:00:00,121.9400,121.5400,122.1100,122.0700
USDJPY,20011031,00:00:00,122.0700,121.6700,122.6000,122.4400
USDJPY,20011101,00:00:00,122.4500,121.3500,122.5100,122.0000
USDJPY,20011102,00:00:00,122.0000,121.4400,122.0300,121.6600
USDJPY,20011105,00:00:00,121.6100,121.5800,122.0900,121.6200
USDJPY,20011106,00:00:00,121.6200,120.9500,121.6600,121.2200
USDJPY,20011107,00:00:00,121.2200,120.7400,121.2200,121.0000
USDJPY,20011108,00:00:00,121.0000,119.7600,121.3500,120.0200
USDJPY,20011109,00:00:00,120.0200,120.0200,120.5000,120.2900
USDJPY,20011112,00:00:00,120.3600,119.7200,120.8100,120.4200
USDJPY,20011113,00:00:00,120.4200,120.4200,121.7600,121.4500
USDJPY,20011114,00:00:00,121.4700,121.3800,121.9500,121.5200
USDJPY,20011115,00:00:00,121.5200,121.5000,122.4600,122.3600
USDJPY,20011116,00:00:00,122.3600,121.9900,122.9200,122.8700
USDJPY,20011119,00:00:00,122.8600,122.7500,123.4800,123.1000
USDJPY,20011120,00:00:00,123.1000,122.5100,123.1900,122.5800
USDJPY,20011121,00:00:00,122.5800,122.5200,123.3800,123.2000
USDJPY,20011122,00:00:00,123.2100,122.9700,123.9700,123.9400
USDJPY,20011123,00:00:00,123.9400,123.7100,124.4300,124.2500
USDJPY,20011126,00:00:00,124.4000,123.8000,124.4200,124.0500
USDJPY,20011127,00:00:00,124.0400,123.7200,124.5400,123.8900
USDJPY,20011128,00:00:00,123.9000,123.0000,123.9500,123.0600
USDJPY,20011129,00:00:00,123.0600,122.8300,123.9000,123.8900
USDJPY,20011130,00:00:00,123.8900,122.8100,124.1200,123.4200
USDJPY,20011203,00:00:00,123.3400,123.2500,124.1300,124.0600
USDJPY,20011204,00:00:00,124.0700,123.6200,124.3100,124.1000
USDJPY,20011205,00:00:00,124.0900,123.9900,124.5000,124.1100
USDJPY,20011206,00:00:00,124.1200,123.7500,124.8900,124.5600
USDJPY,20011207,00:00:00,124.5600,124.4700,125.7200,125.5100
USDJPY,20011210,00:00:00,125.5700,125.5200,126.3600,125.9600
USDJPY,20011211,00:00:00,125.9500,125.7000,126.2700,126.0100
USDJPY,20011212,00:00:00,126.0000,125.5000,126.5400,125.9400
USDJPY,20011213,00:00:00,125.9500,125.8600,126.5800,126.0000
USDJPY,20011214,00:00:00,125.9900,125.9900,127.9100,127.3600
USDJPY,20011217,00:00:00,127.2900,127.1400,127.9800,127.5300
USDJPY,20011218,00:00:00,127.5400,127.5300,128.4000,127.9500
USDJPY,20011219,00:00:00,127.9400,127.5900,128.4000,128.1600
USDJPY,20011220,00:00:00,128.1500,127.9100,128.8500,128.8400
USDJPY,20011221,00:00:00,128.8300,128.8300,129.6600,129.6300
USDJPY,20011224,00:00:00,129.5500,129.3000,129.9700,129.8900
USDJPY,20011227,00:00:00,131.1500,131.0500,132.0200,131.6500
USDJPY,20011228,00:00:00,131.6500,130.8100,131.8400,131.0600
USDJPY,20020102,00:00:00,131.6400,131.3100,132.2500,132.1000
USDJPY,20020103,00:00:00,132.1100,131.3700,132.2000,131.8000
USDJPY,20020104,00:00:00,131.7900,130.6900,131.7900,130.9200
USDJPY,20020107,00:00:00,130.9200,130.3900,131.5600,131.1000
USDJPY,20020108,00:00:00,131.1100,131.1000,132.8800,132.8400
USDJPY,20020109,00:00:00,132.8400,132.2200,133.3200,133.1300
USDJPY,20020110,00:00:00,133.1200,132.0000,133.1900,132.2300
USDJPY,20020111,00:00:00,132.2300,131.5800,132.4500,132.0400
USDJPY,20020114,00:00:00,131.9700,131.4800,132.1000,131.8100
USDJPY,20020115,00:00:00,131.8200,130.8800,131.9000,131.0800
USDJPY,20020116,00:00:00,131.0900,131.0800,132.2400,132.2400
USDJPY,20020117,00:00:00,132.2300,131.8200,132.5900,132.4800
USDJPY,20020118,00:00:00,132.4700,132.4000,132.9700,132.5500
USDJPY,20020121,00:00:00,132.6200,132.0300,132.8500,132.8400
USDJPY,20020122,00:00:00,132.8300,132.7600,134.4400,133.7600
USDJPY,20020123,00:00:00,133.7700,133.6000,134.5800,134.5600
USDJPY,20020124,00:00:00,134.5700,134.1000,134.8100,134.7600
USDJPY,20020125,00:00:00,134.7500,134.1000,134.9000,134.3800
USDJPY,20020128,00:00:00,134.8400,133.2100,134.9000,133.5200
USDJPY,20020129,00:00:00,133.5200,132.9800,133.6900,133.4600
USDJPY,20020130,00:00:00,133.4500,132.3500,133.6400,132.7300
USDJPY,20020131,00:00:00,132.7400,132.6100,135.1400,134.7000
USDJPY,20020201,00:00:00,134.6900,133.0500,134.9800,133.0600
USDJPY,20020204,00:00:00,133.1600,132.0000,133.4600,132.2600
USDJPY,20020205,00:00:00,132.2700,131.9400,134.2400,133.8600
USDJPY,20020206,00:00:00,133.8600,133.3600,134.3400,133.7500
USDJPY,20020207,00:00:00,133.7400,133.3600,134.1200,133.7100
USDJPY,20020208,00:00:00,133.7000,133.5100,134.9800,134.6000
USDJPY,20020211,00:00:00,134.8600,133.1800,134.9900,133.3800
USDJPY,20020212,00:00:00,133.3900,132.4500,133.7400,132.6500
USDJPY,20020213,00:00:00,132.6600,132.1600,133.4000,133.1400
USDJPY,20020214,00:00:00,133.1300,131.9900,133.1700,132.0800
USDJPY,20020215,00:00:00,132.0900,131.8600,133.1600,132.5700
USDJPY,20020218,00:00:00,132.6800,132.4200,132.8400,132.6600
USDJPY,20020219,00:00:00,132.6700,132.6000,133.9600,133.6400
USDJPY,20020220,00:00:00,133.6500,133.0200,133.9100,133.7200
USDJPY,20020221,00:00:00,133.7200,133.4200,134.4300,134.2100
USDJPY,20020222,00:00:00,134.2200,133.5200,134.4600,134.0200
USDJPY,20020225,00:00:00,134.1100,133.6300,134.1500,133.8800
USDJPY,20020226,00:00:00,133.8800,133.6500,134.6500,134.6400
USDJPY,20020227,00:00:00,134.6500,134.1000,134.9600,134.2900
USDJPY,20020228,00:00:00,134.3000,133.2000,134.3800,133.3200
USDJPY,20020301,00:00:00,133.3300,133.0800,133.8300,133.3000
USDJPY,20020304,00:00:00,133.5400,131.8700,133.5500,132.0400
USDJPY,20020305,00:00:00,132.0500,131.6000,132.5600,132.2300
USDJPY,20020306,00:00:00,132.2200,130.5500,132.4500,130.6700
USDJPY,20020307,00:00:00,130.6800,126.3800,130.8500,127.6900
USDJPY,20020308,00:00:00,127.6800,127.2600,128.7100,128.5500
USDJPY,20020311,00:00:00,128.6300,127.7500,129.1600,128.2100
USDJPY,20020312,00:00:00,128.2100,127.9600,129.2500,129.1500
USDJPY,20020313,00:00:00,129.1700,128.9700,129.6100,129.4500
USDJPY,20020314,00:00:00,129.4400,128.2100,129.5400,129.2100
USDJPY,20020315,00:00:00,129.2000,128.8600,129.4200,129.1200
USDJPY,20020318,00:00:00,129.2400,129.1700,131.5100,131.2300
USDJPY,20020319,00:00:00,131.2400,130.8700,132.4300,132.1200
USDJPY,20020320,00:00:00,132.1100,131.2500,132.4000,131.2600
USDJPY,20020321,00:00:00,131.2700,131.2400,132.2100,131.9900
USDJPY,20020322,00:00:00,131.9900,131.9600,132.9100,132.8100
USDJPY,20020325,00:00:00,132.7700,132.6700,133.4200,133.3500
USDJPY,20020326,00:00:00,133.3600,132.2700,133.4200,133.1400
USDJPY,20020327,00:00:00,133.1400,132.3100,133.2500,132.6500
USDJPY,20020328,00:00:00,132.6600,132.1800,132.8300,132.7400
USDJPY,20020329,00:00:00,132.7300,132.2600,133.1700,132.7300
USDJPY,20020401,00:00:00,132.7100,132.6800,133.8000,133.4100
USDJPY,20020402,00:00:00,133.4000,132.8500,133.5900,133.3400
USDJPY,20020403,00:00:00,133.3500,132.3800,133.3500,132.7100
USDJPY,20020404,00:00:00,132.7200,131.6100,133.0900,132.3100
USDJPY,20020405,00:00:00,132.3000,131.3000,132.3900,131.5900
USDJPY,20020408,00:00:00,131.7300,131.1100,131.8500,131.6600
USDJPY,20020409,00:00:00,131.6600,130.5800,131.8800,130.5900
USDJPY,20020410,00:00:00,130.6000,130.2000,130.8400,130.7000
USDJPY,20020411,00:00:00,130.7100,130.6100,131.8100,131.4900
USDJPY,20020412,00:00:00,131.5000,131.3000,132.2200,131.9600
USDJPY,20020415,00:00:00,132.0000,131.3300,132.3600,132.1100
USDJPY,20020416,00:00:00,132.1000,130.8800,132.1600,131.1800
USDJPY,20020417,00:00:00,131.1800,130.4000,131.2600,130.6100
USDJPY,20020418,00:00:00,130.6100,129.5600,130.7300,130.0000
USDJPY,20020419,00:00:00,130.0100,129.8700,130.6300,130.2900
USDJPY,20020422,00:00:00,130.6400,129.6500,130.6500,130.0300
USDJPY,20020423,00:00:00,130.0200,129.7300,130.2700,130.1500
USDJPY,20020424,00:00:00,130.1400,129.4400,130.3900,129.5700
USDJPY,20020425,00:00:00,129.5800,128.1600,129.6500,128.6800
USDJPY,20020426,00:00:00,128.6700,127.8000,128.8700,127.8300
USDJPY,20020429,00:00:00,127.9100,127.6600,128.2400,128.0000
USDJPY,20020430,00:00:00,128.0000,127.8100,128.6100,128.5000
USDJPY,20020501,00:00:00,128.5100,127.1500,128.6300,127.3800
USDJPY,20020502,00:00:00,127.3900,126.9800,128.1000,127.8600
USDJPY,20020503,00:00:00,127.8600,126.8400,128.0100,126.9600
USDJPY,20020506,00:00:00,127.0100,126.9000,127.4900,127.1500
USDJPY,20020507,00:00:00,127.1500,126.7600,128.3100,128.0600
USDJPY,20020508,00:00:00,128.0500,127.8500,128.9100,128.8400
USDJPY,20020509,00:00:00,128.8300,128.1200,129.0400,128.1900
USDJPY,20020510,00:00:00,128.1900,127.5200,128.6900,127.5500
USDJPY,20020513,00:00:00,127.6900,127.1900,127.8900,127.7400
USDJPY,20020514,00:00:00,127.7400,127.6900,128.7600,128.5400
USDJPY,20020515,00:00:00,128.5300,127.5800,128.6200,127.6000
USDJPY,20020516,00:00:00,127.6200,127.3200,128.3900,128.0400
USDJPY,20020517,00:00:00,128.0300,125.5600,128.0900,125.9000
USDJPY,20020520,00:00:00,125.9700,125.1800,126.1700,125.3100
USDJPY,20020521,00:00:00,125.3200,123.7100,126.0400,124.1500
USDJPY,20020522,00:00:00,124.1600,123.5000,125.0400,124.2600
USDJPY,20020523,00:00:00,124.2700,123.8500,125.3100,125.0800
USDJPY,20020524,00:00:00,125.0800,124.5800,125.2400,124.6600
USDJPY,20020527,00:00:00,124.7400,124.6600,125.0200,124.8300
USDJPY,20020528,00:00:00,124.8200,124.3200,124.8900,124.5300
USDJPY,20020529,00:00:00,124.5400,124.1600,124.6400,124.2400
USDJPY,20020530,00:00:00,124.2400,122.8300,124.3500,123.3100
USDJPY,20020531,00:00:00,123.3000,123.0000,124.4900,124.2800
USDJPY,20020603,00:00:00,124.2500,123.5400,124.4400,123.6200
USDJPY,20020604,00:00:00,123.6300,123.2700,124.3500,124.1200
USDJPY,20020605,00:00:00,124.1200,123.8000,124.7200,123.9600
USDJPY,20020606,00:00:00,123.9600,123.9600,125.0300,124.0600
USDJPY,20020607,00:00:00,124.0500,124.0400,124.6400,124.3300
USDJPY,20020610,00:00:00,124.4200,124.3200,124.9100,124.6900
USDJPY,20020611,00:00:00,124.6900,124.4000,125.7400,125.3200
USDJPY,20020612,00:00:00,125.3100,125.2100,125.8500,125.6600
USDJPY,20020613,00:00:00,125.6600,124.8100,125.8800,124.9200
USDJPY,20020614,00:00:00,124.9200,123.9400,125.0700,124.1000
USDJPY,20020617,00:00:00,124.2000,124.0100,124.5000,124.2600
USDJPY,20020618,00:00:00,124.2500,124.2200,124.7900,124.2700
USDJPY,20020619,00:00:00,124.2600,123.6300,124.3400,123.8800
USDJPY,20020620,00:00:00,123.8900,123.2100,124.1800,123.4800
USDJPY,20020621,00:00:00,123.4800,120.8400,123.8500,121.1900
USDJPY,20020624,00:00:00,121.7200,121.0100,122.7100,121.6100
USDJPY,20020625,00:00:00,121.6100,121.2900,121.9700,121.3200
USDJPY,20020626,00:00:00,121.3300,118.9200,121.5500,120.0900
USDJPY,20020627,00:00:00,120.1000,119.1800,120.2600,119.6800
USDJPY,20020628,00:00:00,119.6800,118.3600,120.2800,119.6000
USDJPY,20020701,00:00:00,119.7100,119.2600,120.1300,119.7500
USDJPY,20020702,00:00:00,119.7600,119.6600,120.7100,119.8500
